"accession","species","type","title","summary","nsamples"
"GSE274721","Mus musculus","Expression profiling by high throughput sequencing; Other","Therapeutic Delivery of CCL2 Modulates Immune Response and Restores Host-microbe Homeostasis","The oral cavity is an easily accessible environment that allows for protective interventions aiming at modulating the immune response to control disease processes driven by a breakdown of host- microbe homeostasis. Periodontal disease (PD) is a prevalent condition in which quantitative and qualitative changes of the oral microbiota (dysbiosis) trigger non-resolving chronic inflammation, progressive bone loss and ultimately tooth loss. Here, we demonstrate the therapeutic benefit of local sustained delivery of the myeloid-recruiting chemokine CCL2 in murine ligature-induced PD using clinically relevant models as a preventive, interventional or reparative therapy. Local delivery of CCL2 into the periodontium inhibited bone loss and accelerated bone gain that could be ascribed to reduced osteoclasts numbers. CCL2 treatment upregulated M2-macrophage and downregulated pro-inflammatory and pro-osteoclastic markers. Furthermore, single cell RNA sequencing indicated that CCL2 therapy reversed disease-associated transcriptomic profiles of murine gingival macrophages via inhibiting TREM-1 signaling in classically activated macrophages and inducing PKA signaling in infiltrating macrophages. Finally, 16S rRNA sequencing showed mitigation of microbial dysbiosis in the periodontium that correlated with a reduction in microbial load in CCL2- treated mice. This study reveals a novel protective effect of CCL2 local delivery in PD as a model for chronic inflammatory diseases caused by a disturbance in host-microbe homeostasis.",12
"GSE222969","Homo sapiens","Expression profiling by high throughput sequencing","Single, off-the-shelf treatment of Neuropathic Mucopolysaccharidoses with iPSC-derived microglia [bulk RNA-seq]","Lysosomal storage disorders (LSDs) are a group of inherited metabolic disorders . A subgroup of LSDs is called Mucopolysaccharidoses (MPS), where accumulation of glycosaminoglycans causes a progressive degenerative disorder. The central nervous system (CNS) is particularly impacted with developmental delays, neurological regression, and early mortality. Current treatments are often insufficient to fully address the clinical need. Here we report the use of microglia derived from healthy human induced pluripotent stem cells (hiPSCs) as a potential one-time, allogeneic off-the-shelf cell therapy for several MPS. iPSC-derived microglia, termed MG01   , are replete with wild-type levels of lysosomal enzymes and we show that MG01 can deliver the functional enzyme into four different MPS knockout cell lines via mannose-6-phosphate receptor-mediated endocytosis in vitro. We then show that a single administration of MG01 provides sufficient enzyme to prevent behavioral deficits in two different animal models of MPS, efficacious to at least eight months after transplantation.",5
"GSE268656","Homo sapiens","Expression profiling by high throughput sequencing","Pharmacological impacts of Mucopolysacccharide Polyphosphates in skin involves inhibition of Amphiregulin-mediated signals in keratinocytes","The epidermis, the most superficial layer of human skin, serves a critical barrier function, protecting the body from external pathogens and allergens. Dysregulation in the epidermal differentiation process contributes to barrier dysfunction and is implicated in the pathology of various dermatological diseases, including atopic dermatitis (AD). Mucopolysaccharide polysulfate (MPS) is used as a moisturizing agent for xerosis in AD patients. However, its mechanism of action on keratinocytes, the main constituent of the epidermis, remains unclear. In this study, we investigated the impact of MPS on keratinocytes by subjecting adult human epidermal keratinocyte (HEKa) cells and three-dimensional cultured keratinocytes to MPS treatment, followed by transcriptome analysis. The analysis revealed that MPS treatment enhances keratinocyte differentiation and suppresses proliferation. We focused on amphiregulin (AREG), a membrane protein that belongs to the epidermal growth factor (EGF) family and possesses a heparin-binding domain, as a significant target of the MPS among the genes altered by MPS. It is revealed that MPS exerts an inhibitory effect directly on AREG, rather than on the EGF receptor or other members of the EGF family. Furthermore, it is suggested that AREG leads to a reduction in epidermal barrier function, whereas MPS contributes to barrier enhancement through AREG inhibition. Collectively, these findings suggest that MPS modulates barrier function through the inhibition of AREG, offering insights into potential therapeutic strategies for skin barrier restoration.",33
"GSE246526","Monascus purpureus","Expression profiling by high throughput sequencing","COMPASS core subunits MpSet1 and MpSwd3 regulate Monascus pigments synthesis in Monascus purpureus","In eukaryotes, methylation of histone H3 at lysine 4 (H3K4me) catalyzed by the complex of proteins associated with Set1 (COMPASS) is crucial for the transcriptional regulation of genes and the development of organisms. In Monascus, the functions of COMPASS in establishing H3K4me remain unclear. This study first identified the conserved COMPASS core subunits MpSet1 and MpSwd3 in Monascus purpureus and confirmed their roles in establishing H3K4me2/3. Loss of MpSet1 and MpSwd3 resulted in slower growth and development and inhibited the formation of cleistothecia, ascospores, and conidia. The loss of these core subunits also decreased the production of extracellular and intracellular Monascus pigments (MPs) by 94.2%, 93.5%, 82.7%, and 82.5%, respectively. In addition, RNA high-throughput sequencing and quantitative real-time polymerase chain reaction (qRT-PCR) showed that the loss of MpSet1 and MpSwd3 altered the expression of 2646 and 2659 genes, respectively, and repressed the transcription of MPs synthesis-related genes. In addition, the ΔMpset1 and ΔMpswd3 strains demonstrated increased sensitivity to cell wall stress with the downregulation of chitin synthase-coding genes. These results indicated that the COMPASS core subunits MpSet1 and MpSwd3 help establish H3K4me2/3 for growth and development, spore formation, and pigment synthesis in Monascus. These core subunits also assist in maintaining cell wall integrity.",9
"GSE249277","Homo sapiens","Expression profiling by high throughput sequencing","Gene expression of glucose homeostasis in a pancreas-liver microphysiological system","Current research on metabolic disorders and diabetes relies on animal models because multi-organ diseases cannot be well studied with the standard in vitro assays. Here, we connect models of key metabolic organs, pancreas and liver, on a microfluidic chip to enable diabetes research in a human-based preclinical system. Aided by mechanistic mathematical modelling, we show that hyperglycemia and high cortisone induce glucose dysregulation in the pancreas-liver microphysiological system (MPS) mimicking a diabetic phenotype seen in patients with glucocorticoid-induced diabetes. In this diseased condition, pancreas-liver MPS displays beta-cell dysfunction, steatosis, elevated ketone-body secretion, increased glycogen storage, and upregulated gluconeogenic gene expression. In turn, a physiological culture condition rescues the glucose tolerance and beta cell function. This method was evaluated for repeatability in two laboratories and was effective in multiple pancreatic islet donors. The model also provides a platform to identify new therapeutic targets as demonstrated with a combined transcriptome and proteome analysis.",6
"GSE269009","Homo sapiens","Expression profiling by high throughput sequencing","RNA-seq of monocyte derived macrophages and dendritic cells in a Peruvian Tuberculosis cohort","In this study, we sought to analyze the effects of genetic variants on gene expression levels in relation to the history of infectious disease and cell type. To do this, we focused on a Peruvian human cohort that had been previously genotyped who either progressed to active tuberculosis (TB) disease (cases) or did not progress to TB (controls). We isolated monocytes from PBMC samples of these individuals and differentiated in vitro to dendritic cells (DCs) and macrophages (MPs). We performed RNA-seq for each sample using a modified Smart-seq protocol for low-input RNA-sequencing. We measured the impact of genetic variants on gene expression by identifying expression quantitative trait loci (eQTL). We identified cell-type-specific eQTL genes as well as five genes that showed an interaction between eQTL variants and TB progression status in dendritic cells. We found that the top eQTL interaction with disease history was associated with a gene involved in tyrosine catabolism. ",227
"GSE235223","Homo sapiens","Expression profiling by high throughput sequencing","Transcriptional characterization of adjuvantly radio(chemo)therapy treated head and neck squamous cell carcinoma (HNSCC).","We characterized n=134 HNSCC by Quantseq 3´-RNA-sequencing for their transcriptional profiles in order to analyze differential expression of clinically relevant subgroups, define transcriptionally defined molecular subgroups and to characterize the tumor microenvironment by gene expression devonvolution approaches.",134
"GSE266485","Mus musculus","Expression profiling by high throughput sequencing","A disease similarity approach identifies short-lived Niemann-Pick type C disease mice with accelerated brain aging as a novel mouse model for Alzheimer’s disease and aging research","Since its first description in 1906 by Dr. Alois Alzheimer, Alzheimer’s disease (AD) has been the most common type of dementia. Initially thought to be caused by age-associated accumulation of plaques, in recent years, research has increasingly associated AD with lysosomal storage and metabolic disorders, and the explanation of its pathogenesis has shifted from amyloid and tau accumulation to oxidative stress and impaired lipid and glucose metabolism aggravated by hypoxic conditions. However, the underlying mechanisms linking those cellular processes and conditions to disease progression have yet to be defined. Here, we applied a disease similarity approach to identify unknown molecular targets of AD by using transcriptomic data from congenital diseases known to increase AD risk, namely Down Syndrome, Niemann Pick Disease Type C (NPC), and Mucopolysaccharidoses I. We uncovered common pathways, hub genes, and miRNAs across in vitro and in vivo models of these diseases as potential molecular targets for neuroprotection and amelioration of AD pathology, many of which have never been associated with AD. We then investigated common molecular alterations in brain samples from an NPC disease mouse model by juxtaposing them with brain samples of both human and mouse models of AD. Detailed phenotypic and molecular analyses revealed the NPCmut mouse as a novel, short-lived in vivo model of AD characterized by accelerated brain aging, concluding that the NPCmut mouse model can serve as a potential short-lived in vivo model for AD research and for understanding molecular factors affecting brain aging. This research represents the first comprehensive approach to congenital disease association with neurodegeneration and a new perspective on AD research while highlighting shortcomings and lack of correlation in diverse in vitro models. Considering the lack of an AD mouse model that recapitulates the physiological hallmarks of brain aging, the characterization of a short-lived NPC mouse model will further accelerate the research in these fields and offer a unique model for understanding the molecular mechanisms of AD from a perspective of accelerated brain aging.",12
"GSE244498","Homo sapiens","Expression profiling by high throughput sequencing","Integrating Tumor and Healthy Epithelium in a Microphysiology Multi-compartment Approach to Study Renal Cell Carcinoma Pathophysiology","The advent of micro-physiological systems (MPS) in biomedical research has enabled the introduction of more complex and relevant physiological into in vitro models. The recreation of complex morphological features in three-dimensional environments can recapitulate otherwise absent dynamic interactions in conventional models. In this study we developed an advanced in vitro Renal Cell Carcinoma (RCC) that mimics the interplay between healthy and malignant renal tissue. Based on the TissUse Humimic platform our model combines healthy renal proximal tubule epithelial cells (RPTEC) and RCC. Co-culturing reconstructed RPTEC tubules with RCC spheroids in a closed micro-perfused circuit resulted in significant phenotypical changes to the tubules. Expression of immune factors revealed that interleukin-8 (IL-8) and tumor necrosis factor-alfa (TNF-α) were upregulated in the non-malignant cells while neutrophil gelatinase-associated lipocalin (NGAL) was downregulated in both RCC and RPTEC. Metabolic analysis revealed that RCC prompted a shift in the energy production of RPTEC tubules, inducing glycolysis, in a metabolic adaptation that likely supports RCC growth and immunogenicity. In contrast, RCC maintained stable metabolic activity, emphasizing their resilience to external factors. RNA-seq and biological process analysis of primary RTPTEC tubules demonstrated that the 3D tubular architecture and MPS conditions reverted cells to a predominant oxidative phosphorylate state, a departure from the glycolytic metabolism observed in 2D culture. This dynamic RCC co-culture model, approximates the physiology of healthy renal tubules to that of RCC, providing new insights into tumor-host interactions. Our approach can show that an RCC-MPS can expand the complexity and scope of pathophysiology and biomarker studies in kidney cancer research.",6
"GSE202344","Homo sapiens","Expression profiling by high throughput sequencing","Gene expression in 15 weeks of neurons differentiated from MPS II-induced pluripotent stem cells","To investigate the gene expression in the regulation of neuron differentiation between healthy human control and MPS II. We then performed gene expression profiling analysis using mRNAs of 3 healthy human control iPSC- and 9 MPS II-iPSC-dervied 15 weeks neurons.",12
